Name,Gender,District
Jessica Green,F,Metro Council District 1
Barbara Shanklin,F,Metro Council District 2
"Keisha Dorsey, MPH",F,Metro Council District 3
Jecorey Arthur,M,Metro Council District 4
Donna Purvis,F,Metro Council District 5
David James ,M,Metro Council District 6
Paula McCraney,F,Metro Council District 7
Cassie Chambers Armstrong,F,Metro Council District 8
Bill Hollander,M,Metro Council District 9
Pat Mulvihill,M,Metro Council District 10
Kevin Kramer,M,Metro Council District 11
Rick Blackwell,M,Metro Council District 12
Mark Fox,M,Metro Council District 13
Cindi Fowler,F,Metro Council District 14
Kevin Triplett,M,Metro Council District 15
Scott Reed,M,Metro Council District 16
Markus Winkler,M,Metro Council District 17
Marilyn Parker,F,Metro Council District 18
Anthony Piagentini,M,Metro Council District 19
Stuart Benson,M,Metro Council District 20
Nicole George,F,Metro Council District 21
Robin Engel,M,Metro Council District 22
James Peden,M,Metro Council District 23
Madonna Flood,F,Metro Council District 24
Amy Holton Stewart,F,Metro Council District 25
Brent Ackerson,M,Metro Council District 26